sample,age,age_label,n_cells,total_umi,sample_id
muc3838,24m,Old,799,751967.0,muc3838
muc3839,24m,Old,499,484096.0,muc3839
muc3840,3m,Young,499,759114.0,muc3840
muc3841,3m,Young,499,533988.0,muc3841
muc4166,24m,Old,1199,771573.0,muc4166
muc4167,24m,Old,1047,606698.0,muc4167
muc4168,24m,Old,1199,1148556.0,muc4168
muc4169,3m,Young,1199,1108344.0,muc4169
muc4170,3m,Young,1199,960177.0,muc4170
muc4172,3m,Young,1199,981567.0,muc4172
muc4173,3m,Young,1199,1014498.0,muc4173
muc4174,24m,Old,1199,1025126.0,muc4174
muc4175,24m,Old,1199,729963.0,muc4175
muc4654,3m,Young,1199,746410.0,muc4654
muc4657,3m,Young,679,510366.0,muc4657
